horodatage,densite_entree_29,densite_sortie_54,TIC_sortie_ech,PI_calendre,PI_boucle,TI_entree_ech,PI_separateur,echelon,prod_sortie_54
2024-02-06 07:00:00,1260.0,1615.0,80.3208999633789,-0.161569595336914,2.0156731605529785,79.89688873291016,103.8352508544922,J,0.006784648634493351
2024-02-06 09:00:00,,1618.0,83.10169982910156,0.110015258193016,2.2220447063446045,83.02600860595703,234.9449005126953,J,0.005326562095433474
2024-02-06 11:00:00,1262.0,1621.0,84.38607788085938,-0.0516060516238212,2.908813953399658,84.34608459472656,761.820556640625,J,8.949752807617188
2024-02-06 13:00:00,,1604.0,85.31352996826172,-0.0487994812428951,2.8512158393859863,85.26603698730469,762.840087890625,J,7.101464748382568
2024-02-06 15:00:00,1278.0,1612.0,86.04381561279297,-0.0482058674097061,2.3480231761932373,85.97615051269531,417.0416870117188,J,0.006894634570926428
2024-02-06 17:00:00,,1607.0,88.26432037353516,-0.1659177541732788,1.9997098445892332,85.20476531982422,101.76934814453124,J,10.596307754516602
2024-02-06 19:00:00,1251.0,1605.0,80.58626556396484,0.0367598161101341,2.0367493629455566,76.79633331298828,85.03199005126953,J,10.014906883239746
2024-02-06 21:00:00,,1576.0,80.56840515136719,0.0704101473093032,2.092794418334961,76.4305648803711,89.6064682006836,J,14.989462852478027
2024-02-06 23:00:00,1256.0,1596.0,82.60286712646484,0.1396465450525283,2.101745843887329,78.63494873046875,91.30793762207033,J,18.010780334472656
2024-02-07 01:00:00,,1603.0,79.72157287597656,-0.0156496781855821,2.108535051345825,76.04629516601562,88.46261596679688,J,18.01270294189453
2024-02-07 03:00:00,1260.0,1590.0,79.5532455444336,0.0608225353062152,2.108847618103028,75.45333099365234,88.81727600097656,J,18.028305053710938
2024-02-07 05:00:00,,1578.0,78.37901306152344,-0.0513861365616321,2.1430139541625977,74.44075775146484,85.45328521728516,J,17.9881534576416
2024-02-07 07:00:00,1255.0,1553.0,78.03298950195312,-0.0223951879888772,2.135321617126465,73.83744049072266,88.32498931884766,J,17.99279022216797
2024-02-07 09:00:00,,1560.0,77.50264739990234,-0.0956533178687095,2.14931583404541,73.43061065673828,87.6553955078125,J,18.01462173461914
2024-02-07 11:00:00,1245.0,1550.0,74.7908935546875,-0.0415363200008869,2.174501180648804,70.87267303466797,83.75887298583984,J,17.977705001831055
